id,neighborhood,sq_m,rooms,bathrooms,floors,sq_m_allotment,floor,neighborhood_id,price,house_type_id,is_renewal_needed,has_ac,has_fitted_wardrobes,has_lift,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,parking_included,parking_price,orientation_north,orientation_west,orientation_south,orientation_east,house_type,district_id,district
21684,Butarque,107.0,3,2,0,0.0,1,131,207503.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21683,Butarque,76.0,2,2,0,0.0,3,131,162793.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21682,Butarque,105.0,3,2,0,0.0,1,131,204999.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21681,Butarque,109.0,3,2,0,0.0,4,131,220879.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21680,Butarque,108.0,3,2,0,0.0,4,131,218258.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21679,Butarque,109.0,3,2,0,0.0,0,131,231855.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21678,Butarque,76.0,2,2,0,0.0,4,131,163397.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21677,Butarque,76.0,2,2,0,0.0,2,131,160759.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21676,Butarque,108.0,3,2,0,0.0,3,131,217169.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21675,Butarque,76.0,2,2,0,0.0,5,131,165208.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
